Origin,"Date Created","Play Duration Milliseconds","Artist Name","Last Played","Play Count",Genres,Artists
UNKNOWN,20241213,237770,N/A,1734095657241,1,"Music, Pop","Taylor Swift"
UNKNOWN,20241216,227707,N/A,1734354669010,1,"Music, Pop","Taylor Swift"
UNKNOWN,20241218,184000,N/A,1734527368055,1,"Music, Pop","Teddy Swims"
UNKNOWN,20241219,224061,N/A,1734646658534,1,"Music, Pop","Taylor Swift"
UNKNOWN,20241223,4060519,N/A,1734972851519,12,"Alternative, Music","The Cure"
UNKNOWN,20241231,1516288,N/A,1735675705889,5,"Alternative, Music","The Cure"
UNKNOWN,20250102,2237437,N/A,1735845001174,7,"Alternative, Music","The Cure"
UNKNOWN,20250103,1682551,N/A,1735935038022,7,"Alternative, Music","The Cure"
UNKNOWN,20250107,70220,N/A,1736255130875,1,"Alternative, Music","The Cure"
UNKNOWN,20250108,3982940,N/A,1736373019291,13,"Alternative, Music","The Cure"
UNKNOWN,20250109,13000000,N/A,1736437900393,42,"Adult Contemporary, CCM, Christian & Gospel, Christmas, Gospel, Holiday, Inspirational, Music, Pop, Rock","Amanda Cook, Aodhán King, Benjamin William Hastings, Brooke Ligertwood, Cody Carnes, Elevation Worship, Hillsong, Hillsong UNITED, Hillsong Worship, Hillsong Young & Free, Housefires, Kari Jobe, Matt Crocker, Michael W. Smith, New Life Worship, TAYA"
UNKNOWN,20250114,5213810,N/A,1736879513084,15,"Alternative, Music","The Cure"
UNKNOWN,20250115,3317075,N/A,1736964255974,9,"Alternative, Music","The Cure"
UNKNOWN,20250116,2765363,N/A,1737063154194,9,"Alternative, Music","The Cure"
UNKNOWN,20250117,4132645,N/A,1737149748629,13,"Alternative, Music","The Cure"
UNKNOWN,20250118,2649949,N/A,1737223099408,8,"Alternative, Music","The Cure"
UNKNOWN,20250119,2592469,N/A,1737309227744,9,"Alternative, Music","The Cure"
UNKNOWN,20250120,4327661,N/A,1737389897260,14,"Alternative, Music","The Cure"
UNKNOWN,20250123,3372603,N/A,1737668040068,11,"Alternative, Music","The Cure"
UNKNOWN,20250124,3193136,N/A,1737758543868,11,"Alternative, Music","The Cure"
UNKNOWN,20250125,1686514,N/A,1737827819548,9,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250126,3165862,N/A,1737914389171,18,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250127,3492209,N/A,1738000873718,21,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250128,2715263,N/A,1738080735211,15,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250129,2432455,N/A,1738191223259,15,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250130,3384871,N/A,1738259825623,17,"Alternative, Music","LINKIN PARK, The Cure"
UNKNOWN,20250131,2842045,N/A,1738346321730,15,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250201,3671041,N/A,1738432366680,16,"Alternative, Music","LINKIN PARK, The Cure"
UNKNOWN,20250202,2095345,N/A,1738519419332,14,"Alternative, Music, Rock","Hollywood Undead, The Cure"
UNKNOWN,20250203,2087005,N/A,1738606075217,6,"Alternative, Music","The Cure"
UNKNOWN,20250205,2712760,N/A,1738807566924,9,"Alternative, Music","The Cure"
UNKNOWN,20250208,3512100,N/A,1739037802223,11,"Alternative, Music","The Cure"
UNKNOWN,20250209,2715900,N/A,1739123580981,8,"Alternative, Music","The Cure"
UNKNOWN,20250213,1105000,N/A,1739453816042,3,"Alternative, Music","The Cure"
UNKNOWN,20250214,3073234,N/A,1739564186947,11,"Alternative, Music","The Cure"
UNKNOWN,20250216,2010000,N/A,1739739809650,6,"Alternative, Music","The Cure"
UNKNOWN,20250219,46560,N/A,1739985767925,1,"Alternative, Music","The Cure"
UNKNOWN,20250220,2504772,N/A,1740074487291,8,"Alternative, Music","The Cure"
UNKNOWN,20250221,4521358,N/A,1740160574745,23,"Alternative, Music","LINKIN PARK, The Cure"
UNKNOWN,20250222,2455605,N/A,1740247310272,14,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250223,5388467,N/A,1740336729671,32,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250224,5113848,N/A,1740428972624,31,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250225,3318000,N/A,1740496351340,10,"Alternative, Music","The Cure"
UNKNOWN,20250226,3998304,N/A,1740592131541,21,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250227,14009238,N/A,1740700639153,75,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250228,6472315,N/A,1740764134634,35,"Alternative, Music, Rock","Islander, LINKIN PARK"
UNKNOWN,20250301,1090247,N/A,1740795984655,6,"Music, Rock",Islander
UNKNOWN,20250302,1259326,N/A,1740882427582,5,"Alternative, Music, Rock","Islander, The Cure"
UNKNOWN,20250303,1922554,N/A,1741017728856,7,"Alternative, Music","The Cure"
UNKNOWN,20250304,301964,N/A,1741097172138,2,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250305,1843774,N/A,1741197227847,12,"Alternative, Music, Soundtrack","LINKIN PARK, Matthew Ineleo, Olivia Foa'i, Sulata Foai-Amiatu, Vai Mahina"
UNKNOWN,20250306,4022325,N/A,1741282998883,22,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250307,5001743,N/A,1741383468224,27,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250308,1732044,N/A,1741456803685,10,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250309,3044835,N/A,1741538529157,18,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250310,3272151,N/A,1741630734221,14,"Adult Alternative, Alternative, Ambient, Contemporary Singer/Songwriter, Dance, Dubstep, Electronic, Hip Hop/Rap, Industrial, Music, Pop, Rock, Singer/Songwriter, Techno","Alex PTR, Alter Ego, DJ Tyx, LINKIN PARK, MOON, Max Tocci, Re:Served, Skinny Puppy, Vinyl Richie, Virzy Guns"
UNKNOWN,20250311,69315,N/A,1741696518154,1,"Adult Alternative, Electronic, Industrial, Music, Rock","Skinny Puppy"
UNKNOWN,20250315,3777372,N/A,1742087067616,12,"Alternative, Music","The Cure"
UNKNOWN,20250316,1556292,N/A,1742154031829,6,"Alternative, Music","The Cure"
UNKNOWN,20250318,2859645,N/A,1742333554205,10,"Alternative, Music","The Cure"
UNKNOWN,20250319,4129407,N/A,1742403137622,12,"Alternative, Music","The Cure"
UNKNOWN,20250320,4229355,N/A,1742489165216,22,"Alternative, Music","LINKIN PARK, The Cure"
UNKNOWN,20250321,3338126,N/A,1742576013131,20,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250322,1946021,N/A,1742661701773,12,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250323,990521,N/A,1742748666946,6,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250324,1127785,N/A,1742859551476,7,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250325,615000,N/A,1742907555587,2,"Alternative, Music","The Cure"
UNKNOWN,20250326,1864852,N/A,1743008585110,12,"Alternative, Hard Rock, Heavy Metal, Music, Rock","LINKIN PARK"
UNKNOWN,20250327,1688974,N/A,1743094888095,10,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250328,1172499,N/A,1743180871713,9,"Alternative, Hard Rock, Heavy Metal, Music, Rock","LINKIN PARK"
UNKNOWN,20250329,1363527,N/A,1743267961810,9,"Alternative, Hard Rock, Heavy Metal, Music, Rock","LINKIN PARK"
UNKNOWN,20250330,1988530,N/A,1743353768098,14,"Adult Alternative, Alternative, Hard Rock, Heavy Metal, Music, Pop, Rock","LINKIN PARK"
UNKNOWN,20250331,9581700,N/A,1743447741322,44,"Adult Alternative, Alternative, Bebop, Electronic, Electronica, Hard Rock, Heavy Metal, Jazz, Music, Rock","Gotye, LINKIN PARK, The Cure"
UNKNOWN,20250401,1091000,N/A,1743537718380,5,"Alternative, Electronic, Music, Pop, Rock","Depeche Mode, The Afghan Whigs"
UNKNOWN,20250406,2659962,N/A,1743970907521,8,"Alternative, Music","The Cure"
UNKNOWN,20250407,925588,N/A,1744029871467,2,"Adult Alternative, Alternative, College Rock, Goth Rock, Music, Rock","The Cure"
UNKNOWN,20250408,4662024,N/A,1744139696737,15,"Adult Alternative, Alternative, College Rock, Goth Rock, Music, Rock","The Cure"
UNKNOWN,20250409,586612,N/A,1744202878949,3,"Adult Alternative, Alternative, College Rock, Goth Rock, Music, Rock","The Cure"
UNKNOWN,20250410,3060897,N/A,1744303296655,12,"Adult Alternative, Alternative, College Rock, Goth Rock, Music, Rock","The Cure"
UNKNOWN,20250411,3329412,N/A,1744390914409,14,"Adult Alternative, Alternative, College Rock, Goth Rock, Music, Rock","The Cure"
UNKNOWN,20250412,1311582,N/A,1744477215097,6,"Adult Alternative, Alternative, College Rock, Goth Rock, Music, Rock","The Cure"
UNKNOWN,20250413,3355666,N/A,1744562993724,15,"Adult Alternative, Alternative, College Rock, Goth Rock, Music, New Wave, Rock","The Cure"
UNKNOWN,20250414,72778,N/A,1744592656650,1,"Adult Alternative, Alternative, College Rock, Goth Rock, Music, New Wave, Rock","The Cure"
UNKNOWN,20250416,1823111,N/A,1744821350274,5,"Adult Alternative, Alternative, College Rock, Goth Rock, Music, New Wave, Rock","The Cure"
UNKNOWN,20250418,1671477,N/A,1744994981485,8,"Heavy Metal, Music, Rock","Bad Omens"
UNKNOWN,20250419,3070429,N/A,1745081195557,15,"Heavy Metal, Music, Rock","Bad Omens"
UNKNOWN,20250420,3536626,N/A,1745191270456,19,"Heavy Metal, Music, Rock","Bad Omens"
UNKNOWN,20250421,450000,N/A,1745272652819,1,"Classical, Music","David Parry, London Philharmonic Orchestra"
UNKNOWN,20250422,3105831,N/A,1745354033983,11,"Alternative, Heavy Metal, Music, Rock","Bad Omens, The Cure"
UNKNOWN,20250424,2204218,N/A,1745512946766,8,"Alternative, Music","The Cure"
UNKNOWN,20250425,3143917,N/A,1745599852989,9,"Alternative, Music","The Cure"
UNKNOWN,20250426,3947145,N/A,1745701153989,15,"Alternative, Music","LINKIN PARK, The Cure"
UNKNOWN,20250427,3396538,N/A,1745785881740,19,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250428,3732249,N/A,1745866705595,20,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250429,3849241,N/A,1745958608648,21,"Alternative, Music","LINKIN PARK, The Cure"
UNKNOWN,20250430,1562671,N/A,1746030191432,7,"Alternative, Music","The Cure"
UNKNOWN,20250501,4601100,N/A,1746114911627,13,"Alternative, Music","The Cure"
UNKNOWN,20250502,2215767,N/A,1746204439102,13,"Adult Alternative, Alternative, Grunge, Music, Rock","Nirvana, The Cure"
UNKNOWN,20250503,1489118,N/A,1746289179129,5,"Alternative, Music","The Cure"
UNKNOWN,20250504,4548520,N/A,1746401201150,26,"Alternative, Music, Rock","Hollywood Undead, The Cure"
UNKNOWN,20250505,2303888,N/A,1746481309522,13,"Hard Rock, Music, Rock","Hollywood Undead"
UNKNOWN,20250506,872709,N/A,1746535184278,5,"Hard Rock, Music, Rock","Hollywood Undead"
UNKNOWN,20250507,2751339,N/A,1746636581619,16,"Hard Rock, Music, Rock","Hollywood Undead"
UNKNOWN,20250508,4065612,N/A,1746722407780,23,"Adult Alternative, Hard Rock, Music, Rock","Anne Clark, Hollywood Undead"
UNKNOWN,20250509,3142516,N/A,1746810332707,17,"Adult Alternative, Music, Rock","Anne Clark"
UNKNOWN,20250510,3618709,N/A,1746896057669,19,"Adult Alternative, Music, Rock","Anne Clark"
UNKNOWN,20250511,2299404,N/A,1747003674300,13,"Adult Alternative, Music, Rock","Anne Clark"
UNKNOWN,20250512,4929409,N/A,1747094310284,37,"Adult Alternative, Dance, Dirty South, Hardcore Rap, Hip Hop/Rap, House, Latin, Latin Rap, Latin Urban, Music, Pop, R&B/Soul, Rap, Rock, Trance","Anne Clark, Flo Rida, Lil Jon, Ne-Yo, Piccallo, Pitbull, TheFatRat, Tiësto, USHER, Ying Yang Twins"
UNKNOWN,20250513,1794404,N/A,1747174403923,13,"Adult Alternative, Alternative, Alternative Rap, Dance, Hip Hop/Rap, House, Music, Pop, Rap, Rock, Underground Rap","Gorillaz, Miley Cyrus, N/A, Pitbull"
UNKNOWN,20250514,1316508,N/A,1747263451975,12,"Alternative, Dirty South, Hardcore Rap, Hip Hop/Rap, Music, Pop, Rap","Chris Lake, Cobra Starship, Flo Rida, Gorillaz, Lil Jon, Pitbull, Steve Aoki, Tujamo"
UNKNOWN,20250515,5170706,N/A,1747353848106,47,"Dance, Dirty South, Dubstep, Electronic, Hardcore Rap, Heavy Metal, Hip Hop/Rap, Music, Pop, Rap, Rock","AFROJACK, DJ Snake, Edward Maya, Korn, Lil Jon, Marshmello, Pitbull, TRICKSTAR, Vika Jigulina, Zac Brown"
UNKNOWN,20250516,5339596,N/A,1747439202442,32,"Dance, Dirty South, Electronic, Hardcore Rap, Hip Hop/Rap, Latin Rap, Music, Pop, R&B/Soul, Rap, Rock","AFROJACK, Calvin Harris, Lil Jon, Ne-Yo, Pitbull, SZA"
UNKNOWN,20250517,4837075,N/A,1747507432388,35,"Dance, Dirty South, Electronic, Hardcore Rap, Hip Hop/Rap, Latin, Latin Urban, Music, Pop, R&B/Soul, Rap","AFROJACK, Akon, Alesso, Calvin Harris, Cedric Gervais, Clementine Douglas, Dua Lipa, Gary LeVox, Katy Perry, Lana Del Rey, Lil Jon, Pitbull, SIMIEN, Young Thug"
UNKNOWN,20250518,7272199,N/A,1747612720628,39,"Dirty South, Hardcore Rap, Hip Hop/Rap, Latin Rap, Music, R&B/Soul, Rap, Rock","Calvin Harris, Lil Jon, Pitbull"
UNKNOWN,20250519,800263,N/A,1747691121004,5,"Dance, Dirty South, Hardcore Rap, Hip Hop/Rap, Music, Rap","Cedric Gervais, Lana Del Rey, Lil Jon"
UNKNOWN,20250520,1624978,N/A,1747787549265,12,"Dance, Dirty South, Hardcore Rap, Hip Hop/Rap, Latin, Latin Urban, Music, Pop, R&B/Soul, Rap, Singer/Songwriter","Alphaville, Ava Max, David Guetta, Ed Sheeran, Lil Jon, Pitbull, Rihanna, SZA, Sensato"
UNKNOWN,20250521,2713605,N/A,1747845971720,12,"Arena Rock, Dirty South, Hard Rock, Hardcore Rap, Hip Hop/Rap, Music, Pop, Pop/Rock, Rap, Rock, Soft Rock","Journey, Lil Jon"
UNKNOWN,20250522,6476530,N/A,1747947860296,29,"Arena Rock, Asia, Dirty South, Hard Rock, Hardcore Rap, Hip Hop/Rap, Japan, Music, Pop, Pop/Rock, Rap, Rock, Soft Rock, World","Dalai Guru, Flo Rida, Journey, Lil Jon"
UNKNOWN,20250523,4395218,N/A,1748018052718,19,"Arena Rock, Australia, Hard Rock, Heavy Metal, Music, Pop, Pop/Rock, Rock, Soft Rock, World","AC/DC, Far East Movement, Journey"
UNKNOWN,20250524,1982583,N/A,1748105000441,6,"Alternative, Music","The Cure"
UNKNOWN,20250525,6748616,N/A,1748212604216,36,"Alternative, Dirty South, Hardcore Rap, Hip Hop/Rap, Latin, Latin Rap, Modern Dancehall, Music, Pop, Rap, Reggae, Rock","Dario G, Elephant Man, Far East Movement, Lil Jon, Mohombi, Notch, Pitbull, Pretty Ricky, T-Weaponz, TKZee, The Cure, Ying Yang Twins"
UNKNOWN,20250526,4089144,N/A,1748304143978,18,"Contemporary R&B, Dance, Dirty South, Electronic, Hardcore Rap, Hip Hop/Rap, Music, Pop, R&B/Soul, Rap, Rock","AFROJACK, Akon, Calvin Harris, Far East Movement, Lil Jon, Pitbull"
UNKNOWN,20250527,519865,N/A,1748382655382,4,"African, Afrobeats, Dance, Music","Calvin Harris, MOLIY, Major Lazer, Silent Addy"
UNKNOWN,20250528,2607237,N/A,1748444096628,9,"Alternative, Dance, Music","Nicola Fasano, Pat-Rich, The Cure"
UNKNOWN,20250529,4411704,N/A,1748536651381,24,"Alternative, Ambient, Dance, Electronic, Music, New Age","Chakra Healing Music Academy, Feed Your Soul, Nicola Fasano, Pat-Rich, The Cure"
UNKNOWN,20250530,3481236,N/A,1748623927617,17,"Hard Rock, Heavy Metal, Hip Hop/Rap, Music, Rap, Rock","Korn, Otep"
UNKNOWN,20250531,1186129,N/A,1748734552456,6,"Dance, Heavy Metal, Hip Hop/Rap, Music, Rap, Rock","Korn, Nicola Fasano, Pat-Rich"
UNKNOWN,20250601,4155032,N/A,1748804199560,13,"Dance, Electronic, Heavy Metal, House, Music, Rock","Korn, deadmau5"
UNKNOWN,20250602,6147325,N/A,1748897698680,35,"Alternative, Ambient, Easy Listening, Electronic, Heavy Metal, Hip Hop/Rap, Meditation, Music, New Age, New Wave, Rap, Rock","Calm Sky, Depeche Mode, Feed Your Soul, Korn, Orchestral Manoeuvres In the Dark, Subtle Mind Expansion"
UNKNOWN,20250603,1345019,N/A,1748984849115,9,"Alternative, Electronic, Music, Pop","Amy Lee, Ava Max, Bebe Rexha, Depeche Mode, Halsey"
UNKNOWN,20250604,2647262,N/A,1749055885859,12,"Alternative, Electronic, Music","Depeche Mode"
UNKNOWN,20250605,4600394,N/A,1749162826439,21,"Alternative, Dance, Electronic, House, Music, Trance","Basto!, Crowd+Ctrl, Depeche Mode, Super8 & Tab"
UNKNOWN,20250606,3982170,N/A,1749228591100,19,"Alternative, Electronic, Music","Depeche Mode"
UNKNOWN,20250607,5033584,N/A,1749340752375,24,"Alternative, Dirty South, Electronic, Hardcore Rap, Hip Hop/Rap, Latin, Latin Rap, Latin Urban, Music, Pop, Rap","Depeche Mode, Lil Jon, Pitbull, Pretty Ricky"
UNKNOWN,20250608,17253669,N/A,1749427354004,88,"Alternative, Contemporary R&B, Dance, Dirty South, Electronic, Hardcore Rap, Hip Hop/Rap, Latin, Latin Rap, Latin Urban, Music, Pop, R&B/Soul, Rap, Rock, Soul","AFROJACK, Alicia Keys, Black Eyed Peas, Depeche Mode, Enrique Iglesias, Far East Movement, Flo Rida, IAmChino, Jax Jones, Laidback Luke, Lil Jon, MNEK, Maggie Lindemann, Ne-Yo, Nicola Fasano, Pat-Rich, Pitbull, Pretty Ricky, Rihanna, Steve Aoki, Taio Cruz, The Weeknd, Victor Cardenas, will.i.am"
UNKNOWN,20250609,13141235,N/A,1749501524275,55,"Alternative, Dance, Dirty South, Electronic, Hardcore Rap, Hip Hop/Rap, Music, Rap, Trance","Calvin Harris, DJ Katana, DJ Shorty, Depeche Mode, Doctor Noize Dj, Grateful Jesus, Intimation 666, Kritik, Lil Jon, Nathan Cosmo, Saratoga, Volker"
UNKNOWN,20250610,4793369,N/A,1749583151854,24,"Alternative, Dirty South, Electronic, Hardcore Rap, Hip Hop/Rap, Music, Pop, Rap","Depeche Mode, Lil Jon, Pitbull, will.i.am"
UNKNOWN,20250611,7046984,N/A,1749669069935,30,"Alternative, Electronic, Music","Depeche Mode"
UNKNOWN,20250612,6464677,N/A,1749746923785,33,"Alternative, Dance, Dirty South, Electronic, Hardcore Rap, Hip Hop/Rap, Music, Pop, Rap","2 Chainz, Bow Wow, Chris Brown, Dario G, Depeche Mode, Lil Jon, Ne-Yo, Pitbull, Sexyy Red, TKZee, Tiësto"
UNKNOWN,20250613,10344915,N/A,1749853812523,66,"Alternative, Dance, Dirty South, Electronic, Hardcore Rap, Hip Hop/Rap, House, Latin, Latin Rap, Music, Pop, R&B/Soul, Rap, Rock","AFROJACK, Bryn Christopher, Depeche Mode, FIFA SOUND, Far East Movement, Jax Jones, Joel Corry, Lil Jon, MNEK, Pitbull, SZA, Sigala, USHER"
UNKNOWN,20250614,7845111,N/A,1749926763486,47,"Alternative, Dance, Dirty South, East Coast Rap, Electronic, Electronica, Hardcore Rap, Hip Hop/Rap, Latin Rap, Modern Dancehall, Music, Pop, Rap, Reggae, Rock","Black Eyed Peas, Dario G, Depeche Mode, Kardinal Offishall, Lil Jon, Marshmello, PinkPantheress, Pitbull, TKZee, TRICKSTAR"
UNKNOWN,20250615,4539516,N/A,1750030867572,16,"Alternative, Electronic, Hip Hop/Rap, Music","Depeche Mode, Post Malone, The Cure"
UNKNOWN,20250617,542593,N/A,1750204639482,2,"Alternative, Music","The Cure"
UNKNOWN,20250618,6980937,N/A,1750265520790,20,"Alternative, Music","The Cure"
UNKNOWN,20250619,11064238,N/A,1750373146325,64,"Alternative, Dance, Dirty South, Hardcore Rap, Hip Hop/Rap, Latin, Latin Rap, Latin Urban, Music, Pop, Rap, Rock","Alex Guesta, Billie Eilish, Dario G, Flo Rida, Lil Jon, Nicola Fasano, Pitbull, Pretty Ricky, Sak Noel, Sensato, TKZee, Tate McRae, The Cure"
UNKNOWN,20250620,10455926,N/A,1750458381914,53,"Alternative, Contemporary R&B, Dance, Dirty South, Electronic, Fitness & Workout, Hardcore Rap, Healing, Hip Hop/Rap, Latin, Latin Rap, Music, New Age, Pop, R&B/Soul, Rap, Rock, Soul, World","Black Eyed Peas, Dario G, E-40, Flo Rida, Freaky Bass, Headache Relief Unit, Lil Jon, Pitbull, Pretty Ricky, Sean Paul, TKZee, Taio Cruz, The Cure, YoungBloodZ"
UNKNOWN,20250621,10564984,N/A,1750537795171,57,"Alternative, Dance, Dirty South, Fitness & Workout, Hardcore Rap, Hip Hop/Rap, Latin, Latin Rap, Music, Pop, Rap, Rock","Black Eyed Peas, Coone, Dimitri Vegas & Like Mike, Flo Rida, Lil Jon, Pitbull, Rihanna, The Cure"
UNKNOWN,20250622,5187069,N/A,1750624374001,18,"Alternative, Dance, Music","Lil Jon, The Cure"
UNKNOWN,20250623,7031747,N/A,1750717397296,50,"Contemporary R&B, Dance, Dirty South, Disco, Electronic, Fitness & Workout, Gangsta Rap, Hardcore Rap, Hip Hop/Rap, House, Latin, Latin Rap, Music, Pop, R&B/Soul, Rap, Rock","Alvaro, Chris Lake, DJ Class, Far East Movement, Flo Rida, JETFIRE, Lil Jon, Lil Jon & The East Side Boyz, Pastor Troy, Pitbull, R3HAB, Sidney Samson, Steve Aoki, Swanky Tunes, Tujamo, Tyrese, Ying Yang Twins"
UNKNOWN,20250624,190908,N/A,1750730321177,1,"Hip Hop/Rap, Music, Pop","Don Toliver"
UNKNOWN,20250625,4871673,N/A,1750870704495,15,"Alternative, Music","The Cure"
UNKNOWN,20250626,3594610,N/A,1750956561897,12,"Alternative, Dance, Music","Jax Jones, MNEK, The Cure"
UNKNOWN,20250627,7759065,N/A,1751062442340,34,"Alternative, Dirty South, Hardcore Rap, Hip Hop/Rap, Music, Rap","Chyna Whyte, Lil Jon, Lil Jon & The East Side Boyz, Pastor Troy, The Cure, Too $hort, Ying Yang Twins"
UNKNOWN,20250628,5116405,N/A,1751138076586,19,"Alternative, Dirty South, Hardcore Rap, Healing, Hip Hop/Rap, Music, New Age, Rap","Headache Relief Unit, Lil Jon, The Cure"
UNKNOWN,20250629,5781394,N/A,1751229966424,30,"Alternative, Dirty South, Hardcore Rap, Hip Hop/Rap, Music, Rap","LINKIN PARK, Lil Jon, The Cure"
UNKNOWN,20250701,3038279,N/A,1751387613508,16,"Alternative, Music","LINKIN PARK"
UNKNOWN,20250702,6791621,N/A,1751484108079,40,"Alternative, Dance, Dirty South, Hardcore Rap, Hip Hop/Rap, Music, Rap","Alex Guesta, LINKIN PARK, Lil Jon, Lil Jon & The East Side Boyz, Nicola Fasano, Pastor Troy"
UNKNOWN,20250703,3290397,N/A,1751582335361,29,"Alternative Rap, Dance, Dirty South, Disco, Electronic, Hardcore Rap, Hip Hop/Rap, Latin, Latin Rap, Music, Pop, R&B/Soul, Rap, Rock","8Ball, Black Eyed Peas, Bun B, Calvin Harris, E-40, Lil Jon, Lil Jon & The East Side Boyz, Pastor Troy, Petey Pablo, Pitbull, Sean Paul, Sidney Samson, YoungBloodZ, Zac Brown"
