"Station Id",Subscription?,Shared?,Created,"Last Modified",Deleted?,"Station Description"
st.1035532101,false,true,2019-06-30T16:29:27.503Z,2019-06-30T16:29:27.612Z,Yes,"Abecedarians Radio"
st.1035759878,false,true,2019-07-01T00:01:11.357Z,2019-07-01T00:01:11.548Z,Yes,"AC/DC Radio"
st.1036225019,false,true,2019-07-01T15:41:03.475Z,2019-07-01T15:41:03.676Z,Yes,"Oingo Boingo Radio"
st.1038209451,false,true,2019-07-04T14:49:19.132Z,2019-07-04T14:49:19.281Z,No,"Björk Radio"
st.1041710388,false,true,2019-07-09T15:52:58.311Z,2019-07-09T15:52:58.518Z,No,"Massive Attack Radio"
st.1042584043,false,true,2019-07-10T21:18:32.479Z,2019-07-10T21:18:32.654Z,Yes,"Bush Radio"
st.1045379511,false,true,2019-07-14T16:39:17.320Z,2019-07-14T16:39:17.471Z,No,"ABC Radio"
st.1046733458,false,true,2019-07-16T17:05:05.966Z,2019-07-16T17:05:06.090Z,Yes,"Dead or Alive Radio"
st.1123167456,false,true,2019-10-21T15:05:31.682Z,2019-10-21T15:05:31.883Z,Yes,"Imagine Dragons Radio"
st.1123586110,false,true,2019-10-22T01:24:00.109Z,2019-10-22T01:24:01.143Z,Yes,"User Radio"
st.1126669003,false,true,2019-10-25T14:22:30.368Z,2019-10-25T14:22:32.187Z,No,"""Weird Al"" Yankovic Radio"
st.1144882194,false,true,2019-11-15T01:33:18.548Z,2019-11-15T01:33:18.706Z,No,"Dada Radio"
st.1256123308,false,true,2020-03-03T14:48:15.528Z,2020-03-03T14:48:15.675Z,Yes,"Hollywood Undead Radio"
st.1263536067,false,true,2020-03-11T01:34:20.171Z,2020-03-11T01:34:20.329Z,No,"ICE NINE KILLS Radio"
st.1316083221,false,true,2020-05-03T22:54:25.834Z,2020-05-03T22:54:25.927Z,No,"Lauren Daigle Radio"
st.1354902895,false,true,2020-06-11T02:01:52.940Z,2020-06-11T02:01:53.058Z,Yes,"Journey Radio"
st.1396509928,false,true,2020-07-18T15:15:59.427Z,2020-07-18T15:15:59.517Z,Yes,"Avenue Beat Radio"
st.1398690834,false,true,2020-07-20T15:35:20.475Z,2020-07-20T15:35:20.582Z,No,"Avenue Blue feat. Jeff Golub Radio"
st.1412655609,false,true,2020-08-01T22:12:21.686Z,2020-08-01T22:12:21.762Z,No,"Jem Radio"
st.1413653416,false,true,2020-08-02T17:32:39.169Z,2020-08-02T17:32:39.344Z,No,"Gina G. Radio"
st.1413612673,false,true,2020-08-02T19:50:04.877Z,2020-08-02T19:50:04.951Z,No,"John Cena Radio"
st.1413569969,false,true,2020-08-02T19:50:04.882Z,2020-08-02T19:50:04.970Z,No,"W.E.T. Radio"
st.1413827088,false,true,2020-08-02T21:00:17.855Z,2020-08-02T21:00:18.192Z,No,"Rammstein Radio"
st.1414044142,false,true,2020-08-03T00:10:21.962Z,2020-08-03T00:10:22.060Z,Yes,"Doja Cat Radio"
st.1414146422,false,true,2020-08-03T02:29:18.273Z,2020-08-03T02:29:18.413Z,No,"grandson Radio"
st.1417182825,false,true,2020-08-05T23:47:52.675Z,2020-08-05T23:47:52.841Z,No,"Sissel Radio"
st.1417503457,false,true,2020-08-06T05:06:13.096Z,2020-08-06T05:06:13.187Z,No,"Kenny Butterill Radio"
st.1428938007,false,true,2020-08-16T19:02:19.550Z,2020-08-16T19:02:19.637Z,No,"The Killers Radio"
st.1436304766,false,true,2020-08-22T21:01:05.017Z,2020-08-22T21:01:05.087Z,No,"JAY-Z Radio"
st.1445563362,false,true,2020-08-26T22:37:18.463Z,2020-08-26T22:37:18.623Z,No,"New Empire Radio"
st.1445986906,false,true,2020-08-27T00:33:32.078Z,2020-08-27T00:33:32.168Z,No,"Jewel Radio"
st.1446084254,false,true,2020-08-27T00:40:11.152Z,2020-08-27T00:40:11.215Z,No,"Kenny McKennon & His Blue Cats Radio"
st.1464085879,false,true,2020-09-03T14:51:16.385Z,2020-09-03T14:51:16.507Z,No,"Powfu Radio"
st.1464129402,false,true,2020-09-03T14:51:16.500Z,2020-09-03T14:51:16.642Z,No,"PAW Radio"
st.1470417918,false,true,2020-09-07T02:42:42.069Z,2020-09-07T02:42:42.222Z,No,"Marca MP Radio"
st.1474578217,false,true,2020-09-09T22:07:01.824Z,2020-09-09T22:07:01.982Z,No,"Doe Boy Radio"
st.1475470596,false,true,2020-09-10T14:46:05.685Z,2020-09-10T14:46:05.896Z,No,"Bazzi Radio"
st.1475722252,false,true,2020-09-10T18:25:51.939Z,2020-09-10T18:25:52.023Z,Yes,"Korn Radio"
st.1479010325,false,true,2020-09-12T20:29:19.230Z,2020-09-12T20:29:19.476Z,No,"BØRNS Radio"
st.1480545779,false,true,2020-09-13T20:53:49.983Z,2020-09-13T20:53:51.777Z,No,N/A
st.1488708846,false,true,2020-09-19T00:28:50.380Z,2020-09-19T00:28:50.600Z,No,"Kenny Rogers Radio"
st.1501325311,false,true,2020-09-27T02:46:01.739Z,2020-09-27T02:46:01.867Z,No,"BENNETT Radio"
st.1515391524,false,true,2020-11-03T05:32:14.145Z,2020-11-03T05:32:14.466Z,Yes,N/A
st.1516010211,false,true,2020-11-11T18:50:56.575Z,2020-11-11T18:50:56.737Z,Yes,N/A
st.1516720561,false,true,2020-11-20T17:47:35.316Z,2020-11-20T17:47:35.767Z,Yes,N/A
st.1518373243,false,true,2020-12-11T01:53:04.297Z,2020-12-11T01:53:04.629Z,Yes,N/A
st.1528351911,false,true,2021-04-15T19:49:16.995Z,2021-04-15T19:49:17.413Z,Yes,"User Radio"
st.1528677517,false,true,2021-04-18T15:45:51.004Z,2021-04-18T15:45:51.684Z,No,N/A
st.1529625565,false,true,2021-04-27T16:09:06.153Z,2021-04-27T16:09:06.728Z,No,N/A
st.1529850069,false,true,2021-04-27T17:04:14.098Z,2021-04-27T17:04:14.497Z,Yes,N/A
st.1549513322,false,true,2021-09-26T16:17:22.862Z,2021-09-26T16:17:23.153Z,Yes,"User Radio"
st.1552605084,false,true,2021-10-25T22:18:48.247Z,2021-10-25T22:18:48.498Z,No,N/A
st.1552356965,false,true,2021-10-26T16:07:57.782Z,2021-10-26T16:07:58.080Z,No,N/A
st.1555360782,false,true,2021-11-20T06:22:21.042Z,2021-11-20T06:22:21.499Z,No,N/A
st.1558477597,false,true,2021-12-11T16:08:03.482Z,2021-12-11T16:08:03.828Z,Yes,N/A
st.1559156337,false,true,2021-12-16T06:20:16.373Z,2021-12-16T06:20:16.664Z,No,N/A
st.1566889006,false,true,2022-02-09T23:02:34.609Z,2022-02-09T23:02:35.041Z,No,N/A
st.1567257804,false,true,2022-02-14T16:06:51.441Z,2022-02-14T16:06:51.788Z,No,N/A
st.1568116276,false,true,2022-02-17T18:01:25.538Z,2022-02-17T18:01:25.895Z,No,N/A
st.1570430339,false,true,2022-03-07T05:34:57.338Z,2022-03-07T05:34:57.617Z,Yes,N/A
st.1572547843,false,true,2022-03-23T04:24:00.640Z,2022-03-23T04:24:00.973Z,No,"User Radio"
st.1575752450,false,true,2022-04-15T15:46:55.386Z,2022-04-15T15:46:55.663Z,No,N/A
st.1584320811,false,true,2022-06-21T06:54:43.635Z,2022-06-21T06:54:43.961Z,Yes,N/A
st.1587034248,false,true,2022-07-07T05:18:30.589Z,2022-07-07T05:18:30.995Z,No,N/A
st.1587055233,false,true,2022-07-07T05:21:26.105Z,2022-07-07T05:21:26.596Z,Yes,N/A
st.1592035432,false,true,2022-08-11T23:29:29.794Z,2022-08-11T23:29:30.231Z,No,N/A
st.1592617088,false,true,2022-08-17T01:38:30.101Z,2022-08-17T01:38:30.479Z,No,N/A
